When Salander woke up it was 2.00 on Saturday afternoon and a doctor was poking at her.|The Girl Who Kicked the Hornets' Nest|Stieg Larsson
The express departed from Birmingham with the nicest exactitude, and covered itself with glory as far as Watford, when it ran into a mist, and lost more than a quarter of an hour, besides ruining Arthur's career. Arthur arrived in London at one minute past two.|Catching the Train|Arnold Bennet
"I'm not dead. How did that happen?" He was right. It was 14.02 and twenty-six seconds. Destiny had not been fulfilled. We all looked at each other, confused.|The Woman Who Died a Lot|Jasper Fforde
It was three minutes after two in the afternoon, and the Battle of Tahuma had begun.|The Infinite Day|Chris Walley
2.04 pm. Once again, the Quartermaster-General's office came on the line asking for Colonel Finckh, and once again Finckh heard the quiet, unemotional, unfamiliar voice|The Night of the Generals|Hans Hellmut Kirst
...and at five past two on 17 September of that same unforgettable year 1916, I was in the Muryovo hospital yard, standing on trampled withered grass, flattened by the September rain.|A Country Doctor's Notebook|Mikhail Bulgakov
A man driving a tractor saw her, four hundred yards from her house, six minutes past two in the afternoon.|A Change of Climate|Hilary Mantel
He poked his head into Tonay's office at about seven minutes past two and said, "Sarge, I'm pretty sure something's happening with the Buick."|From a Buick 8|Stephen King
At eight minutes past two, the gloomy-faced man, standing by the wide y of steps that led down from the balcony, craned his neck and discovered Monk Mayfair, Ham Brooks, Daniel W. Lochaber and Elma Champion.|The Man Who Was Scared|Kenneth Robeson
"Mr. Tyne," said Butler, "left the North Tower lobby at 14:09 by up tube on the elevators and arrived at the chess tournament on the sixtieth level at 14:10."|Necromancer|Gordon R. Dickson
Mrs. Eunice Harris pulls back the sleeve of her good coat and checks her good watch. "Indeed yes. Half twelve," and waves a hand at the Town Hall clock as if it was hers. "Always ten past two. Someone put a nail in the time years back."|The Coward's Tale|Vanessa Gebbie
The phone machine announced in an electronic voice, "You have one message, at two-eleven P.M." <br/> Then an unctuous male voice came on. "Kirby, we know you're there. You're still in treatment. You shouldn't be wandering around unsupervised. It's a lot better, a lot safer, for you to stay with us now."|Syndrome|Thomas Hoover
However, they should not forget that another man had lost his life, and if Danny Cartwright did not kill Bernie Wilson, they might well ask, who else could possibly have committed the crime?<br/>At twelve minutes past two, the jury filed out of the court to begin their deliberations.|A Prisoner of Birth|Jeffrey Archer
At the third stroke, it will be two ... thirteen ... and fifty seconds.|So Long, and Thanks for All the Fish|Douglas Adams
The clock inlaid with mother-of-pearl, which would not run, stopped at some fourteen minutes past two o'clock of a dead and forgotten day and time, which had been his mother's dowry.|Barn Burning|William Faulkner
2.15 p.m. Second afternoon class|The Curious Incident of the Dog in the Night-Time|Mark Haddon
"Oh, good evening. I think you were on the barrier when I came in at 2.16 this afternoon. Now, do you know that you let me get past without giving up my ticket? Yes, yes he-he! I really think you ought to be more careful."|Five Red Herrings|Dorothy L. Sayers
"I only know that she used to go every Tuesday and Thursday by the seventeen minutes past two train from Baker St., and be back by six o'clock, so it couldn't have been very far."|The Late Tenant|Louis Tracy
2:18 P.M.<br/>Pierre Armont was forty-six, with gray temples and a body appropriate to an Olympic wrestler. He had full cheeks, a heavy mustache, and suspicious dark eyes that constantly searched his surroundings. It was an innate survival instinct.|Project Cyclops|Thomas Hoover
2:19: Duane Hinton walks out. He walks through the backyard. He lugs some clothes. He wore said clothes last night. He walks to the fence. He feeds the incinerator. He lights a match.|The Cold Six Thousand|James Ellroy
Twenty minutes after two, on my way to San Diego, listening to some weird, cacophanous music; no melodic line, no content.|Somewhere in Time (Bid Time Return)|Richard Matheson
Ned looked around in puzzlement, and it was a long moment before he could account for his surroundings. When he had, he sat up very quickly and gave a startled look at his watch. The thing was crazy! It said twenty-one minutes past two!|The Turner Twins|Ralph Henry Barbour
Garth here. Sunday afternoon. Sorry to miss you, but I'll leave a brief message on your tape. Two-twenty-two or there-aboutish. Great party.|Larry's Party|Carol Shields
“It’s just a plain every-day fog,” he said. “But it’s certainly a wonder. What time is it? Who’s got a watch?”<br/>“Two twenty-three,” replied Evan. “I’ll have to hurry or I won’t get down in time for football practice.”|Kingsford, Quarter|Ralph Henry Barbour
The Fokker lifted off from the Nairobi runway at 14:24 hours, three minutes ahead of their new timeline schedule.|Congo|Michael Crichton
Gary shut himself inside his office and flipped through the messages. Caroline had called at 1:35, 1:40, 1:50, 1:55, and 2:10; it was now 2:25. He pumped his fist in triumph. Finally, finally, some evidence of desperation.|The Corrections|Jonathan Franzen
It was twenty-six minutes past two, but the place was still crowded with the lunch-hour rush.|Free Fall|Rober Crais
The hands of all the four thousand electric clocks in all the Bloomsbury Centre's four thousand rooms marked twenty-seven minutes past two.|Brave New World|Aldous Leonard Huxley
Thursday 2:28 P.M.<br/>"The hypersonic test flight must proceed as scheduled," Tanzan Mino said quietly. "Now that all the financial arrangements have been completed, the Coordinating Committee of the LDP has agreed to bring the treaty before the Diet next week. A delay is unthinkable."|Project Daedalus|Thomas Hoover
At twenty-nine minutes past two on Monday, Lucy tapped at their sitting-room door and said, "If you please, sir, there is a man in black downstairs with a young gentleman."|Blue at the Mizzen|Patrick O'Brian
May 14th 1800. Wm and John set off into Yorkshire after dinner at 1/2 past 2 o'clock, cold pork in their pockets. I left them at the turning of the Low-wood bay under the trees. My heart was so full that I could barely speak to W. when I gave him a farewell kiss.|The Journals of Dorothy Wordsworth|Dorothy Wordsworth
Igor checked the time again. He didn't really; I'm just getting back to the story. It was now thirty-one minutes past two and she (he) was officially late.|The Vampire's Treaty|Matt Shaw
Like 2.32 p.m., Beecher and Avalon, L3 R2 (which meant left three blocks, right two) 2:35 p.m., and you wondered how you could pick up one box, then drive 5 blocks in 3 minutes and be finished cleaning out another box.|Post Office|Charles Bukowski
At that moment his aunt appeared at the side of her cottage and gazed up the headland. Dalgliesh glanced at his wrist. It was thirty-three minutes past two. He let in the clutch and the Cooper Bristol bumped slowly down the track towards her.|Unnatural Causes|P.D. James
At two thirty-four p.m., precisely, in the largest and most luxurious of the private rooms, Sister Brumfett lost a patient. She always thought of death that way. The patient was lost; the battle was over; she, Sister Brumfett, had been personally defeated.|Shroud for a Nightingale|P.D. James
Like 2.32 p.m., Beecher and Avalon, L3 R2 (which meant left three blocks, right two) 2:35 p.m., and you wondered how you could pick up one box, then drive 5 blocks in 3 minutes and be finished cleaning out another box.|Post Office|Charles Bukowski
I look at my watch. Two thirty-six. All I've got left today is take in the laundry and fix dinner.|The Elephant Vanishes|Haruki Murakami
2:37 P.M.<br/>The conduit was roughly a meter and a half in diameter and pitch dark. He had expected that and had extracted a waterproof flashlight from an emergency kit in the wreckage of the Hind. It was helping, but not all that much. With the heat exchangers off, no water was flowing. The stone walls were merely moist, the curved sides covered with slime.|Project Cyclops|Thomas Hoover
The bus continued on its way into Bristol, a journey he would normally cover in about twelve minutes in the Lagonda, but today it took over an hour before they finally pulled into the bus station. Hugo was neither the first nor the last passenger to get off. He checked his watch: 2:38 p.m. He’d left himself enough time.|The Sins of the Father|Jeffrey Archer
Noo, there's a report come in fra' the station-master at Pinwherry that there was a gentleman tuk the 2.39 at Pinwherry.|Five Red Herrings|Dorothy L. Sayers
Members of Big Side marked Michael and Alan as the two most promising three-quarters for Middle Side next year, and when the bell sounded at twenty minutes to three, the members of Big Side would walk with Michael and Alan towards the changing room and encourage them by flattery and genial ragging.|Sinister Street|Compton Mackenzie
At 2.41, when the afternoon fast train to London was pulling out of Larborough prompt to the minute, Miss Pym sat under the cedar on the lawn wondering whether she was a fool, and not caring much anyhow.|Miss Pym Disposes|Josephine Tey
2:42 P.M.<br/>"No!" Cally screamed, but it was already too late. Before Chris Schneider even saw it coming, Ramirez shot him precisely between the eyes, neatly and without fanfare.|Project Cyclops|Thomas Hoover
Then he began to breathe more freely; “the girl,” as he always mentally dubbed her, could not enter the grounds now without his seeing her. He looked at his watch for the third time—seventeen minutes to three. Just about the time he had planned. She should be here soon if she had left Miss Lloyd’s a little after two.|Silverthorns|Mary Louisa Molesworth
A carriage clock in a window two up from the milliner's was showing sixteen minutes to three when I turned round and saw Bruno no more than fifty yards from me.|Friends in High Places|Caro Peacock
"What time is it?"<br/>"Look for yourself," the old woman says to me. I look, and I see the clock has no hands.<br/> "There are no hands," I say.<br/>The old woman looks at the clock face and says to me, "It's a quarter to three."|The Old Woman|Daniil Ivanovich Kharms
The irony had come about unconsciously. Michael had roamed the Palatine that morning, selecting the site for the very advantage that now could be used against him. He looked at his watch: fourteen minutes to three.|The Parsifal Mosaic|Robert Ludlum
The walls here were painted yellow, not red as they had been on Level I. The people wore yellow uniforms. A nurse by the elevator said, "The time is 2:47 p.m., gentlemen. You may continue your descent in one hour."|The Andromeda Strain|Michael Crichton
2:48 P.M.<br/>Rais had finished retrieving the box of krytrons from the cockpit of the Huey and was headed down the elevator for the area directly below and south of the launch facility, the clean room where SatCom's expensive communications satellites were going to be prepped for launch.|Project Cyclops|Thomas Hoover
Endicott stared back at him and thought. Five thousand dollars up front and five thousand after to create a major shunt on Interstate 50 at mile marker 107, shunt to occur at 14:49 hours.|The Homecoming|Carsten Stroud
Stands the Church clock at ten to three? And is there honey still for tea?|The Old Vicarage, Grantchester|Rupert Brooke
At nine minutes to three, the storm came back. It rolled in on angry, brooding tiers: swollen blue-black cumulus and ghostly, low-slung nimbostratus, crowding the ceiling of the sky. It made the oxygen in the air itself compress, turn chill and thick, absorbed or displaced by the moisture that blackened and bloated the heavens.|The Bridge|John Skipp and Craig Spector
"Mr. Kesselbach, it is eight minutes to three. If you don't answer within eight minutes from now, you are a dead man!"|813|Maurice LeBlanc
“And what do you suppose Father Mahoney is thinking now, sitting there like some Romanian beggar and just before teatime? He knows very well we’re expecting him. If he’s even one minute late—I’m counting, it’s seven minutes to three on my watch—I’ll be telling him a thing or two.”|Pomegranate Soup|Marsha Mehran
In the end, it was the Sunday afternoons he couldn’t cope with, and that terrible listlessness that starts to set in about 2.55, when you know you’ve had all the baths you can usefully have that day, that however hard you stare at any given paragraph in the newspaper you will never actually read it, or use the revolutionary new pruning technique it describes, and that as you stare at the clock the hands will move relentlessly on to four o’clock, and you will enter the long dark teatime of the soul.|Life, the Universe and Everything|Douglas Adams
At 2.55 that afternoon, she parked across the road from her daughter’s school and waited for the students to emerge. She hadn’t slept at all. Her eyes ached, and there was a fuzzy heat in her head.|Kill Your Brother|Jack Heath
2.56 P.M. Helen is alone now. Her face is out of frame, and through the viewfinder I see only a segment of the pillow, an area of crumpled sheet and the upper section of her chest and shoulders.|The 60 Minute Zoom|J.G. Ballard
He left the house at three minutes to three, carrying his cloak over his arm. It was a hot day at the beginning of June, and when he stepped out at the door the air of the street smote his face like a blast from an open furnace. He reeled and almost fell.|The Manxman|Sir Hall Caine
We betted that it would happen on the morrow; they took us up and gave us the odds of two to one; we betted that it would happen in the afternoon; we got odds of four to one on that; we betted that it would happen at two minutes to three; they willingly granted us the odds of ten to one on that.|The Chronicle of Young Satan|Mark Twain
A private wireless telegraph which would transmit by dot and dash system the result of a national equine handicap (flat or steeplechase) of one or more miles and furlongs won by an outsider at odds of 50 to 1 at 3 hr 8 m p.m. at Ascot (Greenwich time), the message being received and available for betting purposes in Dublin at 2.59 p.m.|Ulysses|James Joyce
